Description ,Location,Price_and_Duration
3 bedroom flat / apartment for rent,"  Oral Estate By Chevron Toll On Lekki Expressway, Lekki, Lagos","₦3,500,000 per annum "
2 bedroom flat / apartment for rent,"  Alagomeji, Yaba, Lagos","₦1,800,000 per annum "
2 bedroom flat / apartment for rent,"  Off Domino Pizza Ologolo Lekki Lagos, Ologolo, Lekki, Lagos","₦3,000,000 per annum "
Self contain (single rooms) for rent,"  Thomas Estate, Ajah, Lagos","₦400,000 per annum "
2 bedroom flat / apartment for rent,"  Spar Road , Ikate Lekki, Lekki, Lagos","₦4,000,000 per annum "
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","₦5,000,000 per annum "
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","₦5,000,000 per annum "
Self contain (single rooms) for rent,"  Off University Of Lagos Road, Akoka, Yaba, Lagos","₦900,000 per annum "
Self contain (single rooms) for rent,"  Off University Of Lagos Road, Akoka, Yaba, Lagos","₦900,000 per annum "
2 bedroom flat / apartment for rent,"  Off Sholanke, Akoka, Yaba, Lagos","₦1,700,000 per annum "
1 bedroom mini flat (room and parlour) for rent,"  Off Herbert Macaulay Way, Alagomeji, Yaba, Lagos","₦1,400,000 per annum "
1 bedroom mini flat (room and parlour) for rent,"  Off Sweet Sensation, Alagomeji, Yaba, Lagos","₦1,400,000 per annum "
2 bedroom flat / apartment for rent,"  By Enyo Petrol Station Ikate Lekki Lagos State, Ikate Elegushi, Lekki, Lagos","₦3,000,000 per annum "
1 bedroom mini flat (room and parlour) for rent,"  Brownstone Estate, Ikate, Lekki, Lagos","₦2,500,000 per annum "
2 bedroom flat / apartment for rent,"  Off Onike Iwaya Market Road, Onike, Yaba, Lagos","₦1,300,000 per annum "
3 bedroom flat / apartment for rent,"  Oyedara Street, Via Ojokoro, Newtown Estate, Agric, Ikorodu, Lagos","₦700,000 per annum "
2 bedroom flat / apartment for rent,"  Oyedara Street, Via Ojokoro Road, Agric, Ikorodu, Lagos","₦600,000 per annum "
1 bedroom mini flat (room and parlour) for rent,"  Lekki Phase 1 Right, Lekki Phase 1, Lekki, Lagos","₦1,500,000 per annum "
Self contain (single rooms) for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦1,500,000 per annum "
3 bedroom flat / apartment for rent,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos","₦5,000,000 per annum "
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","₦5,000,000 per annum "
